task,dataset,dependency_strength,target_dim,hidden_layers,batch_normalization,batch_size,epochs,learning_rate,seed,model_type,coupling_level,train_time_seconds,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro
classification,breast_cancer,,2,"[32, 16]",False,32,50,0.001,1,multi-output,coupled_outputs,1.0096468925476074,0.9649122807017544,0.9573412698412699,0.9672297297297296,0.9573412698412699,0.9619111259605746,0.9573412698412699,0.04265873015873016,0.9573412698412699,0.04265873015873016
classification,breast_cancer,,2,"[32, 16]",False,32,50,0.001,1,OVA,decoupled_outputs,2.733870506286621,0.9824561403508771,0.9811507936507937,0.9811507936507937,0.9811507936507937,0.9811507936507937,0.9811507936507937,0.018849206349206348,0.9811507936507937,0.018849206349206348
classification,breast_cancer,,2,"[32, 16]",False,32,50,0.001,2,multi-output,coupled_outputs,1.3178153038024902,0.9824561403508771,0.9761904761904762,0.9864864864864865,0.9761904761904762,0.9809555629802873,0.9761904761904762,0.023809523809523808,0.9761904761904762,0.023809523809523808
classification,breast_cancer,,2,"[32, 16]",False,32,50,0.001,2,OVA,decoupled_outputs,2.20638370513916,0.9824561403508771,0.9761904761904762,0.9864864864864865,0.9761904761904762,0.9809555629802873,0.9761904761904762,0.023809523809523808,0.9761904761904762,0.023809523809523808
classification,breast_cancer,,2,"[32, 16]",False,32,50,0.001,3,multi-output,coupled_outputs,0.9752278327941895,0.9912280701754386,0.9880952380952381,0.9931506849315068,0.9880952380952381,0.9905276277523889,0.9880952380952381,0.011904761904761904,0.9880952380952381,0.011904761904761904
classification,breast_cancer,,2,"[32, 16]",False,32,50,0.001,3,OVA,decoupled_outputs,2.287990093231201,0.9824561403508771,0.9811507936507937,0.9811507936507937,0.9811507936507937,0.9811507936507937,0.9811507936507937,0.018849206349206348,0.9811507936507937,0.018849206349206348
