task,dataset,dependency_strength,target_dim,hidden_layers,batch_normalization,batch_size,epochs,learning_rate,seed,model_type,coupling_level,train_time_seconds,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro
classification,heart_disease,,5,"[32, 16]",False,32,50,0.001,1,multi-output,coupled_outputs,0.48424792289733887,0.6065573770491803,0.3748917748917749,0.35357142857142854,0.3748917748917749,0.36278388278388274,0.3748917748917749,0.10531216931216932,0.8946878306878308,0.6251082251082252
classification,heart_disease,,5,"[32, 16]",False,32,50,0.001,1,OVA,decoupled_outputs,2.2234573364257812,0.6065573770491803,0.3645021645021645,0.3628548644338118,0.3645021645021645,0.3527272727272727,0.3645021645021645,0.10993650793650796,0.8900634920634921,0.6354978354978356
classification,heart_disease,,5,"[32, 16]",False,32,50,0.001,2,multi-output,coupled_outputs,0.6588685512542725,0.5901639344262295,0.3463203463203463,0.30376984126984125,0.3463203463203463,0.32210720036806995,0.3463203463203463,0.12336507936507937,0.8766349206349207,0.6536796536796536
classification,heart_disease,,5,"[32, 16]",False,32,50,0.001,2,OVA,decoupled_outputs,6.648360729217529,0.5737704918032787,0.30562770562770564,0.2764411027568922,0.30562770562770564,0.2889187432286024,0.30562770562770564,0.12995621237000549,0.8700437876299946,0.6943722943722943
classification,heart_disease,,5,"[32, 16]",False,32,50,0.001,3,multi-output,coupled_outputs,1.341489553451538,0.5737704918032787,0.32640692640692637,0.30247104247104245,0.32640692640692637,0.3093183940242764,0.32640692640692637,0.1252910052910053,0.8747089947089947,0.6735930735930736
classification,heart_disease,,5,"[32, 16]",False,32,50,0.001,3,OVA,decoupled_outputs,5.305653095245361,0.5409836065573771,0.30389610389610383,0.29220779220779225,0.30389610389610383,0.2973506493506493,0.30389610389610383,0.12759788359788357,0.8724021164021163,0.6961038961038961
