task,dataset,dependency_strength,target_dim,hidden_layers,batch_normalization,batch_size,epochs,learning_rate,seed,model_type,coupling_level,train_time_seconds,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro
classification,dermatology,,6,"[32, 16]",False,32,50,0.001,1,multi-output,coupled_outputs,0.7519135475158691,0.9324324324324325,0.9249999999999999,0.9242424242424243,0.9249999999999999,0.9240855762594893,0.9249999999999999,0.013188844086021506,0.9868111559139785,0.075
classification,dermatology,,6,"[32, 16]",False,32,50,0.001,1,OVA,decoupled_outputs,4.456899881362915,0.9324324324324325,0.9249999999999999,0.9242424242424243,0.9249999999999999,0.9240855762594893,0.9249999999999999,0.013188844086021506,0.9868111559139785,0.075
classification,dermatology,,6,"[32, 16]",False,32,50,0.001,2,multi-output,coupled_outputs,1.537571907043457,0.972972972972973,0.9694444444444444,0.9694444444444444,0.9694444444444444,0.9694444444444444,0.9694444444444444,0.005292338709677419,0.9947076612903226,0.030555555555555558
classification,dermatology,,6,"[32, 16]",False,32,50,0.001,2,OVA,decoupled_outputs,8.934630870819092,0.972972972972973,0.9694444444444444,0.9694444444444444,0.9694444444444444,0.9694444444444444,0.9694444444444444,0.005292338709677419,0.9947076612903226,0.030555555555555558
classification,dermatology,,6,"[32, 16]",False,32,50,0.001,3,multi-output,coupled_outputs,1.4768218994140625,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,dermatology,,6,"[32, 16]",False,32,50,0.001,3,OVA,decoupled_outputs,8.242164850234985,0.9864864864864865,0.9833333333333334,0.9871794871794872,0.9833333333333334,0.9845614035087719,0.9833333333333334,0.0026881720430107525,0.9973118279569894,0.016666666666666666
