task,dataset,dependency_strength,target_dim,hidden_layers,batch_normalization,batch_size,epochs,learning_rate,model_type,coupling_level,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro,train_time_seconds,seed
classification,mnist,,10,"[32, 16]",False,32,50,0.001,OVA,decoupled_outputs,0.9781666666666666,0.977987210053629,0.9780809045404885,0.977987210053629,0.9780230881488482,0.977987210053629,0.0024255038230911073,0.997574496176909,0.022012789946370983,1813.2107498645782,mean
classification,mnist,,10,"[32, 16]",False,32,50,0.001,multi-output,coupled_outputs,0.9607333333333333,0.9602873435638491,0.9607386199609399,0.9602873435638491,0.9604023412257502,0.9602873435638491,0.004361260689188612,0.9956387393108114,0.03971265643615087,183.94356966018677,mean
