task,dataset,dependency_strength,target_dim,hidden_layers,batch_normalization,batch_size,epochs,learning_rate,model_type,coupling_level,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro,train_time_seconds,seed
classification,breast_cancer,,2,"[32, 16]",False,32,50,0.001,OVA,decoupled_outputs,0.9824561403508771,0.9794973544973545,0.982929357929358,0.9794973544973545,0.981085716760625,0.9794973544973545,0.0205026455026455,0.9794973544973545,0.0205026455026455,2.409414768218994,mean
classification,breast_cancer,,2,"[32, 16]",False,32,50,0.001,multi-output,coupled_outputs,0.97953216374269,0.9738756613756614,0.9822889670492411,0.9738756613756614,0.977798105564417,0.9738756613756614,0.026124338624338623,0.9738756613756614,0.026124338624338623,1.100896676381429,mean
