task,dataset,dependency_strength,target_dim,hidden_layers,batch_normalization,batch_size,epochs,learning_rate,model_type,coupling_level,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro,train_time_seconds,seed
classification,digits,,10,"[32, 16]",False,32,50,0.001,OVA,decoupled_outputs,0.9842592592592593,0.9842299442299441,0.9845372653267391,0.9842299442299441,0.9841713188704917,0.9842299442299441,0.0017486585577400852,0.9982513414422599,0.01577005577005577,34.20487221082052,mean
classification,digits,,10,"[32, 16]",False,32,50,0.001,OVO,pairwise_decomposition,0.9796296296296295,0.9794680394680394,0.9802597661962987,0.9794680394680394,0.9795830100546953,0.9794680394680394,0.0022640173978323275,0.9977359826021676,0.02053196053196053,36.07539550463358,mean
classification,digits,,10,"[32, 16]",False,32,50,0.001,multi-output,coupled_outputs,0.9694444444444444,0.9692256542256542,0.9702195623325655,0.9692256542256542,0.9691860530736266,0.9692256542256542,0.003395073488984738,0.9966049265110152,0.030774345774345773,3.400073687235514,mean
