task,dataset,dependency_strength,target_dim,hidden_layers,batch_normalization,batch_size,epochs,learning_rate,model_type,coupling_level,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro,train_time_seconds,seed
classification,iris,,3,"[32, 16]",False,32,50,0.001,OVA,decoupled_outputs,0.9,0.8999999999999999,0.9042648709315376,0.8999999999999999,0.899636296127524,0.8999999999999999,0.049999999999999996,0.9500000000000001,0.09999999999999999,1.0520034631093342,mean
classification,iris,,3,"[32, 16]",False,32,50,0.001,OVO,pairwise_decomposition,0.8666666666666667,0.8666666666666667,0.8821428571428571,0.8666666666666667,0.8643658810325477,0.8666666666666667,0.06666666666666667,0.9333333333333332,0.13333333333333333,0.7349900404612223,mean
classification,iris,,3,"[32, 16]",False,32,50,0.001,multi-output,coupled_outputs,0.8777777777777778,0.8777777777777778,0.8841189674523008,0.8777777777777778,0.8767963680244382,0.8777777777777778,0.061111111111111116,0.938888888888889,0.12222222222222223,0.39374581972757977,mean
