task,dataset,dependency_strength,target_dim,hidden_layers,batch_normalization,batch_size,epochs,learning_rate,model_type,coupling_level,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro,train_time_seconds,seed
classification,heart_disease,,5,"[32, 16]",False,32,50,0.001,OVA,decoupled_outputs,0.5737704918032787,0.3246753246753247,0.3105012531328321,0.3246753246753247,0.31299888843550816,0.3246753246753247,0.12249686796813235,0.8775031320318677,0.6753246753246754,4.725823720296224,mean
classification,heart_disease,,5,"[32, 16]",False,32,50,0.001,multi-output,coupled_outputs,0.5901639344262295,0.34920634920634913,0.3199374374374374,0.34920634920634913,0.331403159058743,0.34920634920634913,0.11798941798941799,0.882010582010582,0.6507936507936508,0.8282020092010498,mean
