task,dataset,dependency_strength,target_dim,hidden_layers,batch_normalization,batch_size,epochs,learning_rate,seed,model_type,coupling_level,train_time_seconds,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro
classification,mnist,,10,"[32, 16]",False,32,50,0.001,1,multi-output,coupled_outputs,266.27182698249817,0.964,0.9636455667015612,0.9636653093661687,0.9636455667015612,0.9636039710184294,0.9636455667015612,0.003996606184590945,0.996003393815409,0.03635443329843874
classification,mnist,,10,"[32, 16]",False,32,50,0.001,1,OVA,decoupled_outputs,2093.816579580307,0.979,0.9788861974260505,0.9790013421557605,0.9788861974260505,0.9789269595332584,0.9788861974260505,0.002334089818040099,0.9976659101819598,0.02111380257394931
classification,mnist,,10,"[32, 16]",False,32,50,0.001,2,multi-output,coupled_outputs,141.00968551635742,0.9585,0.9580374092401553,0.9586376448819006,0.9580374092401553,0.9582041102160712,0.9580374092401553,0.004609161986736779,0.9953908380132633,0.04196259075984453
classification,mnist,,10,"[32, 16]",False,32,50,0.001,2,OVA,decoupled_outputs,1685.6154537200928,0.9788,0.9786425859645339,0.9786876838387455,0.9786425859645339,0.9786595928875901,0.9786425859645339,0.0023546669179441196,0.9976453330820558,0.02135741403546615
classification,mnist,,10,"[32, 16]",False,32,50,0.001,3,multi-output,coupled_outputs,144.5491964817047,0.9597,0.9591790547498308,0.9599129056347502,0.9591790547498308,0.9593989424427501,0.9591790547498308,0.004478013896238112,0.995521986103762,0.04082094525016934
classification,mnist,,10,"[32, 16]",False,32,50,0.001,3,OVA,decoupled_outputs,1660.200216293335,0.9767,0.9764328467703025,0.9765536876269595,0.9764328467703025,0.976482712025696,0.9764328467703025,0.0025877547332891033,0.9974122452667109,0.02356715322969749
