task,dataset,dependency_strength,target_dim,hidden_layers,batch_normalization,batch_size,epochs,learning_rate,seed,model_type,coupling_level,train_time_seconds,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro
classification,digits,,10,"[32, 16]",False,32,50,0.001,1,multi-output,coupled_outputs,3.582211494445801,0.9638888888888889,0.9636379236379236,0.9644633594633595,0.9636379236379236,0.9635597984348626,0.9636379236379236,0.004010452224074515,0.9959895477759254,0.036362076362076355
classification,digits,,10,"[32, 16]",False,32,50,0.001,1,OVA,decoupled_outputs,34.26825571060181,0.9861111111111112,0.9861818961818962,0.9862569712569714,0.9861818961818962,0.9860692618419804,0.9861818961818962,0.0015422602089268755,0.998457739791073,0.013818103818103819
classification,digits,,10,"[32, 16]",False,32,50,0.001,1,OVO,pairwise_decomposition,30.470160245895386,0.9833333333333333,0.9833247533247533,0.9836336336336338,0.9833247533247533,0.9832512412839822,0.9833247533247533,0.0018499525166191834,0.9981500474833807,0.016675246675246676
classification,digits,,10,"[32, 16]",False,32,50,0.001,2,multi-output,coupled_outputs,2.9018752574920654,0.9722222222222222,0.9719798369798369,0.9729356979356979,0.9719798369798369,0.9719012480308115,0.9719798369798369,0.003086431513676096,0.9969135684863237,0.028020163020163018
classification,digits,,10,"[32, 16]",False,32,50,0.001,2,OVA,decoupled_outputs,31.278136014938354,0.9805555555555555,0.9804761904761905,0.9810227783911994,0.9804761904761905,0.9803770880172079,0.9804761904761905,0.0021605055877501698,0.9978394944122497,0.01952380952380952
classification,digits,,10,"[32, 16]",False,32,50,0.001,2,OVO,pairwise_decomposition,36.101945877075195,0.9777777777777777,0.9775396825396825,0.9789253393665158,0.9775396825396825,0.9777756075318844,0.9775396825396825,0.0024710527785863183,0.9975289472214136,0.022460317460317458
classification,digits,,10,"[32, 16]",False,32,50,0.001,3,multi-output,coupled_outputs,3.7161343097686768,0.9722222222222222,0.972059202059202,0.9732596295986389,0.972059202059202,0.9720971127552056,0.972059202059202,0.003088336729203602,0.9969116632707964,0.02794079794079794
classification,digits,,10,"[32, 16]",False,32,50,0.001,3,OVA,decoupled_outputs,37.06822490692139,0.9861111111111112,0.9860317460317459,0.9863320463320463,0.9860317460317459,0.9860676067522866,0.9860317460317459,0.0015432098765432098,0.9984567901234568,0.013968253968253968
classification,digits,,10,"[32, 16]",False,32,50,0.001,3,OVO,pairwise_decomposition,41.654080390930176,0.9777777777777777,0.9775396825396825,0.9782203255887467,0.9775396825396825,0.9777221813482193,0.9775396825396825,0.0024710468982914804,0.9975289531017084,0.022460317460317458
