task,dataset,dependency_strength,target_dim,hidden_layers,batch_normalization,batch_size,epochs,learning_rate,seed,model_type,coupling_level,train_time_seconds,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro
classification,wine,,3,"[32, 16]",False,32,50,0.001,1,multi-output,coupled_outputs,0.6461849212646484,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,wine,,3,"[32, 16]",False,32,50,0.001,1,OVA,decoupled_outputs,1.0405385494232178,0.9722222222222222,0.9761904761904763,0.9696969696969697,0.9761904761904763,0.9717813051146384,0.9761904761904763,0.012820512820512822,0.9871794871794872,0.023809523809523808
classification,wine,,3,"[32, 16]",False,32,50,0.001,1,OVO,pairwise_decomposition,0.7929286956787109,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,wine,,3,"[32, 16]",False,32,50,0.001,2,multi-output,coupled_outputs,0.3561110496520996,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,wine,,3,"[32, 16]",False,32,50,0.001,2,OVA,decoupled_outputs,1.1060059070587158,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,wine,,3,"[32, 16]",False,32,50,0.001,2,OVO,pairwise_decomposition,0.7852203845977783,0.9444444444444444,0.9523809523809524,0.9440559440559441,0.9523809523809524,0.9451526251526251,0.9523809523809524,0.026709401709401708,0.9732905982905984,0.047619047619047616
classification,wine,,3,"[32, 16]",False,32,50,0.001,3,multi-output,coupled_outputs,0.43001246452331543,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,wine,,3,"[32, 16]",False,32,50,0.001,3,OVA,decoupled_outputs,1.4306540489196777,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,wine,,3,"[32, 16]",False,32,50,0.001,3,OVO,pairwise_decomposition,0.887606143951416,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
