task,dataset,dependency_strength,target_dim,hidden_layers,batch_normalization,batch_size,epochs,learning_rate,model_type,coupling_level,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro,train_time_seconds,seed
classification,dermatology,,6,"[32, 16]",False,32,50,0.001,OVA,decoupled_outputs,0.963963963963964,0.9592592592592593,0.9602887852887854,0.9592592592592593,0.9593638080709018,0.9592592592592593,0.007056451612903226,0.9929435483870969,0.04074074074074074,7.211231867472331,mean
classification,dermatology,,6,"[32, 16]",False,32,50,0.001,multi-output,coupled_outputs,0.9684684684684685,0.9648148148148148,0.9645622895622896,0.9648148148148148,0.9645100069013113,0.9648148148148148,0.006160394265232975,0.993839605734767,0.03518518518518519,1.2554357846577961,mean
