task,dataset,dependency_strength,target_dim,model_arch,hidden_layers,batch_normalization,batch_size,epochs,early_stopping_patience,early_stopping_min_delta,learning_rate,model_type,coupling_level,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro,train_time_seconds,best_val_loss,epochs_trained,total_epochs_trained,models_stopped_early,seed
classification,breast_cancer,,2,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,OVA,decoupled_outputs,0.9815789473684211,0.9814484126984127,0.9794068757605017,0.9814484126984127,0.980274396032747,0.9814484126984127,0.018551587301587298,0.9814484126984127,0.018551587301587298,2.4727324485778808,0.06298059878864096,39.7,79.4,1.2,mean
classification,breast_cancer,,2,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,multi-output,coupled_outputs,0.9807017543859649,0.9792658730158731,0.9798076750005087,0.9792658730158731,0.9793041253011125,0.9792658730158731,0.020734126984126983,0.9792658730158731,0.020734126984126983,1.1000421285629272,0.06274730306746357,37.1,37.1,0.7,mean
