task,dataset,dependency_strength,target_dim,model_arch,hidden_layers,batch_normalization,batch_size,epochs,early_stopping_patience,early_stopping_min_delta,learning_rate,model_type,coupling_level,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro,train_time_seconds,best_val_loss,epochs_trained,total_epochs_trained,models_stopped_early,seed
classification,digits,,10,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,OVA,decoupled_outputs,0.9794444444444445,0.9793524238524238,0.9799147021500811,0.9793524238524238,0.9793374056873583,0.9793524238524238,0.0022835795706796736,0.9977164204293203,0.020647576147576147,28.835421562194824,0.017594111572454697,38.34,383.4,5.6,mean
classification,digits,,10,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,multi-output,coupled_outputs,0.9636111111111111,0.9635819390819391,0.9645786142083954,0.9635819390819391,0.9634674193308422,0.9635819390819391,0.004041609554303053,0.995958390445697,0.03641806091806092,3.1806956052780153,0.1099111688495786,44.1,44.1,0.7,mean
