task,dataset,dependency_strength,target_dim,model_arch,hidden_layers,batch_normalization,batch_size,epochs,early_stopping_patience,early_stopping_min_delta,learning_rate,model_type,coupling_level,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro,train_time_seconds,best_val_loss,epochs_trained,total_epochs_trained,models_stopped_early,seed
classification,brisc,,4,vgg,"[32, 16]",False,32,50,10,0.0001,0.001,OVA,decoupled_outputs,0.9269000000000001,0.9349642434401583,0.9215873790378746,0.9349642434401583,0.9264714645075841,0.9349642434401583,0.024498400589587993,0.975501599410412,0.06503575655984178,699.9992034196854,0.09459845703622946,47.1,188.4,1.4,mean
classification,brisc,,4,vgg,"[32, 16]",False,32,50,10,0.0001,0.001,multi-output,coupled_outputs,0.9043000000000001,0.9151238944396656,0.8996498760799945,0.9151238944396656,0.905212609260823,0.9151238944396656,0.032291381994706145,0.9677086180052938,0.08487610556033437,178.9843131542206,0.1979667411898573,48.7,48.7,0.2,mean
