task,dataset,dependency_strength,target_dim,model_arch,hidden_layers,batch_normalization,batch_size,epochs,early_stopping_patience,early_stopping_min_delta,learning_rate,model_type,coupling_level,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro,train_time_seconds,best_val_loss,epochs_trained,total_epochs_trained,models_stopped_early,seed
classification,mnist,,10,vgg,n/a,False,64,50,10,0.0001,0.001,OVA,decoupled_outputs,0.99362,0.9935265520718968,0.9936873800660152,0.9935265520718968,0.9935984591488152,0.9935265520718968,0.000709951788587494,0.9992900482114125,0.006473447928103278,1091.263113594055,0.005256624136707105,21.15,211.5,10.0,mean
classification,mnist,,10,vgg,n/a,False,64,50,10,0.0001,0.001,multi-output,coupled_outputs,0.9930199999999999,0.9929236678830368,0.9930471979001891,0.9929236678830368,0.9929733569571638,0.9929236678830368,0.000775920652842694,0.9992240793471574,0.00707633211696318,106.79254424571991,0.026381622856217694,21.2,21.2,1.0,mean
