task,dataset,dependency_strength,target_dim,model_arch,hidden_layers,batch_normalization,batch_size,epochs,early_stopping_patience,early_stopping_min_delta,learning_rate,model_type,coupling_level,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro,train_time_seconds,best_val_loss,epochs_trained,total_epochs_trained,models_stopped_early,seed
classification,iris,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,OVA,decoupled_outputs,0.9166666666666667,0.9166666666666666,0.9272823472823474,0.9166666666666666,0.9153623958887117,0.9166666666666666,0.04166666666666667,0.9583333333333334,0.08333333333333334,1.5655033111572265,0.15611047508815926,50.0,150.0,0.0,mean
classification,iris,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,multi-output,coupled_outputs,0.9033333333333333,0.9033333333333333,0.9205387205387205,0.9033333333333333,0.8997394028972977,0.9033333333333333,0.04833333333333333,0.9516666666666668,0.09666666666666666,0.6060298919677735,0.24586300700902938,50.0,50.0,0.0,mean
