task,dataset,dependency_strength,target_dim,model_arch,hidden_layers,batch_normalization,batch_size,epochs,early_stopping_patience,early_stopping_min_delta,learning_rate,model_type,coupling_level,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro,train_time_seconds,best_val_loss,epochs_trained,total_epochs_trained,models_stopped_early,seed
classification,cifar10,,10,vgg,n/a,False,64,50,10,0.0001,0.001,OVA,decoupled_outputs,0.76368,0.76368,0.764163585908413,0.76368,0.7630028205301426,0.76368,0.02625777777777778,0.9737422222222222,0.23632,1127.7677428245545,0.1341951566979415,21.65,216.5,10.0,mean
classification,cifar10,,10,vgg,n/a,False,64,50,10,0.0001,0.001,multi-output,coupled_outputs,0.76773,0.76773,0.7699827218654358,0.76773,0.7662728898043242,0.76773,0.02580777777777778,0.9741922222222221,0.23227000000000003,131.92345066070556,0.7006824213520686,26.1,26.1,1.0,mean
